2025-10-16 09:45:07 | WARNING | blocked | pattern=ignore_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:45:07 | WARNING | blocked | pattern=ignore_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:45:07 | WARNING | blocked | pattern=ignore_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:45:07 | WARNING | blocked | pattern=ignore_instructions | severity=high | subject="Urgent!" | sender="attacker@evil.com" | message_id="generated_1760622307" | action=blocked_email
2025-10-16 09:48:18 | WARNING | blocked | pattern=ignore_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:48:18 | WARNING | blocked | pattern=role_confusion | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:48:18 | WARNING | blocked | pattern=chatml_start | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:48:18 | WARNING | blocked | pattern=system_prompt_injection | severity=medium | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:48:18 | WARNING | blocked | pattern=act_as_injection | severity=medium | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:48:18 | WARNING | blocked | pattern=ignore_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:48:18 | WARNING | blocked | pattern=system_prompt_injection | severity=medium | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:48:18 | WARNING | blocked | pattern=disregard_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:48:18 | INFO | warned | pattern=ignore_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=allowed_with_warning
2025-10-16 09:48:18 | INFO | warned | pattern=role_confusion | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=allowed_with_warning
2025-10-16 09:48:18 | INFO | warned | pattern=system_prompt_injection | severity=medium | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=allowed_with_warning
2025-10-16 09:48:18 | INFO | warned | pattern=chatml_start | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=allowed_with_warning
2025-10-16 09:48:18 | INFO | warned | pattern=chatml_end | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=allowed_with_warning
2025-10-16 09:48:18 | WARNING | blocked | pattern=ignore_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:48:18 | WARNING | blocked | pattern=role_confusion | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:48:18 | WARNING | blocked | pattern=ignore_all_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:48:18 | WARNING | blocked | pattern=ignore_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:48:19 | WARNING | blocked | pattern=ignore_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:48:19 | WARNING | blocked | pattern=ignore_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:48:19 | WARNING | blocked | pattern=ignore_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:48:19 | WARNING | blocked | pattern=ignore_instructions | severity=high | subject="Urgent!" | sender="attacker@evil.com" | message_id="generated_1760622499" | action=blocked_email
2025-10-16 09:50:33 | WARNING | blocked | pattern=ignore_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:50:33 | WARNING | blocked | pattern=role_confusion | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:50:33 | WARNING | blocked | pattern=chatml_start | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:50:33 | WARNING | blocked | pattern=system_prompt_injection | severity=medium | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:50:33 | WARNING | blocked | pattern=act_as_injection | severity=medium | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:50:33 | WARNING | blocked | pattern=ignore_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:50:33 | WARNING | blocked | pattern=system_prompt_injection | severity=medium | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:50:33 | WARNING | blocked | pattern=disregard_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:50:33 | INFO | warned | pattern=ignore_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=allowed_with_warning
2025-10-16 09:50:33 | INFO | warned | pattern=role_confusion | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=allowed_with_warning
2025-10-16 09:50:33 | INFO | warned | pattern=system_prompt_injection | severity=medium | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=allowed_with_warning
2025-10-16 09:50:33 | INFO | warned | pattern=chatml_start | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=allowed_with_warning
2025-10-16 09:50:33 | INFO | warned | pattern=chatml_end | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=allowed_with_warning
2025-10-16 09:50:33 | WARNING | blocked | pattern=ignore_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:50:33 | WARNING | blocked | pattern=role_confusion | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:50:33 | WARNING | blocked | pattern=ignore_all_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:50:33 | WARNING | blocked | pattern=ignore_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:50:33 | WARNING | blocked | pattern=ignore_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:50:33 | WARNING | blocked | pattern=ignore_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:50:33 | WARNING | blocked | pattern=ignore_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:50:33 | WARNING | blocked | pattern=ignore_instructions | severity=high | subject="Urgent!" | sender="attacker@evil.com" | message_id="generated_1760622633" | action=blocked_email
2025-10-16 09:57:23 | WARNING | blocked | pattern=ignore_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:57:23 | WARNING | blocked | pattern=role_confusion | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:57:23 | WARNING | blocked | pattern=chatml_start | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:57:24 | WARNING | blocked | pattern=system_prompt_injection | severity=medium | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:57:24 | WARNING | blocked | pattern=act_as_injection | severity=medium | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:57:24 | WARNING | blocked | pattern=ignore_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:57:24 | WARNING | blocked | pattern=system_prompt_injection | severity=medium | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:57:24 | WARNING | blocked | pattern=disregard_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:57:24 | INFO | warned | pattern=ignore_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=allowed_with_warning
2025-10-16 09:57:24 | INFO | warned | pattern=role_confusion | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=allowed_with_warning
2025-10-16 09:57:24 | INFO | warned | pattern=system_prompt_injection | severity=medium | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=allowed_with_warning
2025-10-16 09:57:24 | INFO | warned | pattern=chatml_start | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=allowed_with_warning
2025-10-16 09:57:24 | INFO | warned | pattern=chatml_end | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=allowed_with_warning
2025-10-16 09:57:24 | WARNING | blocked | pattern=ignore_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:57:24 | WARNING | blocked | pattern=role_confusion | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:57:24 | WARNING | blocked | pattern=ignore_all_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:57:24 | WARNING | blocked | pattern=ignore_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:57:24 | WARNING | blocked | pattern=ignore_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:57:24 | WARNING | blocked | pattern=ignore_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:57:24 | WARNING | blocked | pattern=ignore_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:57:24 | WARNING | blocked | pattern=ignore_instructions | severity=high | subject="Urgent!" | sender="attacker@evil.com" | message_id="generated_1760623044" | action=blocked_email
